,titles
0,10 Things I Hate About You
1,12
2,12 and Holding
3,12 Monkeys
4,12 Years a Slave
5,127 Hours
6,1492: Conquest of Paradise
7,15 Minutes
8,17 Again
9,187
10,2001: A Space Odyssey
11,2012
12,25th Hour
13,28 Days Later
14,30 Minutes or Less
15,42
16,44 Inch Chest
18,50-50
19,500 Days of Summer
21,8MM
23,A Few Good Men
24,A Most Violent Year
25,A Prayer Before Dawn
26,A Quiet Place
27,A Scanner Darkly
28,A Serious Man
30,Above the Law
31,Absolute Power
32,"Abyss, The"
33,Ace Ventura: Pet Detective
34,Adaptation
35,"Addams Family, The"
36,"Adjustment Bureau, The"
37,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The"
38,Affliction
39,After School Special
40,After.Life
41,Agnes of God
42,Air Force One
43,Airplane
44,Airplane 2: The Sequel
45,Aladdin
46,Ali
47,Alien
48,Alien 3
49,Alien Nation
50,Alien vs. Predator
51,Alien: Resurrection
52,Aliens
53,All About Eve
54,All About Steve
55,All the King's Men
56,All the President's Men
57,Almost Famous
58,Alone in the Dark
59,Amadeus
60,Amelia
61,American Beauty
62,American Gangster
63,American Graffiti
64,American History X
65,American Hustle
66,American Madness
67,American Milkshake
68,American Outlaws
69,American Pie
70,"American President, The"
71,American Psycho
72,American Shaolin: King of Kickboxers II
73,American Sniper
74,American Splendor
75,American Werewolf in London
76,"American, The"
77,"Amityville Asylum, The"
78,Amour
79,An Education
80,Analyze That
81,Analyze This
82,Anastasia
83,Angel Eyes
84,Angels & Demons
85,Anna Karenina
86,Annie Hall
87,"Anniversary Party, The"
88,Anonymous
89,Antitrust
90,Antz
91,"Apartment, The"
92,Apocalypse Now
93,Apollo 13
94,April Fool's Day
95,Apt Pupil
96,Arbitrage
97,Arcade
98,Arctic Blue
99,Argo
100,Armageddon
101,Army of Darkness
102,Arsenic and Old Lace
103,Arthur
104,"Artist, The"
105,As Good As It Gets
106,Assassins
107,"Assignment, The"
108,At First Sight
