titles,IMDb_score,RT_score,Gross_world,Budget,Per_Profit
10 Things I Hate About You,0.73,0.68,53478166,30000000,178.26
12,0.77,0.76,7537453,4000000,188.44
12 and Holding,0.75,0.73,119195,400000,29.8
12 Monkeys,0.8,0.89,168839459,29000001,582.21
12 Years a Slave,0.81,0.95,187733202,20000000,938.67
127 Hours,0.76,0.93,60738797,18000000,337.44
1492: Conquest of Paradise,0.65,0.32,7191399,47000000,15.3
15 Minutes,0.61,0.32,56359980,60000000,93.93
17 Again,0.63,0.56,136316880,20000000,681.58
2001: A Space Odyssey,0.83,0.93,68766362,12000000,573.05
2012,0.58,0.39,791217826,200000000,395.61
25th Hour,0.76,0.78,23932055,5000000,478.64
28 Days Later,0.76,0.86,85720385,8000000,1071.5
30 Minutes or Less,0.61,0.44,40662632,28000000,145.22
42,0.75,0.8,97470701,40000000,243.68
500 Days of Summer,0.77,0.85,60722734,7500000,809.64
8MM,0.65,0.22,96618699,40000000,241.55
A Few Good Men,0.77,0.82,243240178,41000000,593.27
A Most Violent Year,0.7,0.89,12007070,20000000,60.04
A Quiet Place,0.75,0.95,340939361,17000000,2005.53
A Scanner Darkly,0.71,0.68,7659918,8700000,88.05
A Serious Man,0.7,0.9,31430334,7000000,449.0
Above the Law,0.6,0.53,18869631,7500000,251.6
Absolute Power,0.67,0.48,50068310,50000000,100.14
The Abyss,0.76,0.89,90000098,70000000,128.57
Ace Ventura: Pet Detective,0.69,0.47,107217396,15000000,714.78
The Addams Family,0.69,0.64,191502426,30000000,638.34
The Adjustment Bureau,0.7,0.71,127869379,50200000,254.72
Affliction,0.7,0.88,6330054,6000000,105.5
Agnes of God,0.66,0.43,25627836,10000000,256.28
Air Force One,0.65,0.76,315156409,85000000,370.77
Airplane,0.77,0.97,83453539,3500000,2384.39
Aladdin,0.8,0.95,504050219,28000000,1800.18
Ali,0.68,0.67,87812729,107000000,82.07
Alien,0.84,0.97,108283202,11000000,984.39
Alien Nation,0.63,0.53,32155047,16000000,200.97
Alien vs. Predator,0.56,0.21,177427090,60000000,295.71
